reg_no | sem | branch_code | subject_code | subject_name | subject_type | credit | old_shown_grade | new_shown_grade | should_be_grade | shown_gp | corrected_gp | delta_points | new_ese | new_ia | new_total | old_result_url | new_result_url
21101127028 | IV | 101 | 101407 | Mechanical Engineering | theory | THEORY_100 | 3.00 | F | D | C | 6 | 7 | 3.00 | 40^ | 20 | 60 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101127028 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101127028&exam_held=December%2F2025
21101127044 | IV | 101 | 101405 | Introduction to Solid Mechanics | theory | THEORY_100 | 3.00 | F | P | D | 5 | 6 | 3.00 | 38^ | 16 | 54 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101127044 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101127044&exam_held=December%2F2025
21101127044 | IV | 101 | 101406 | Materials, Testing & Evaluation | theory | THEORY_100 | 2.00 | F | P | D | 5 | 6 | 2.00 | 31^ | 25 | 56 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101127044 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101127044&exam_held=December%2F2025
21101127056 | IV | 101 | 101408 | Structural Analysis | theory | THEORY_100 | 4.00 | F | P | D | 5 | 6 | 4.00 | 32^ | 18 | 50 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101127056 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101127056&exam_held=December%2F2025
21101128013 | IV | 101 | 101406 | Materials, Testing & Evaluation | theory | THEORY_100 | 2.00 | F | P | D | 5 | 6 | 2.00 | 36^ | 14 | 50 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101128013 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101128013&exam_held=December%2F2025
21101128013 | IV | 101 | 101407 | Mechanical Engineering | theory | THEORY_100 | 3.00 | F | D | C | 6 | 7 | 3.00 | 41^ | 20 | 61 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101128013 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101128013&exam_held=December%2F2025
21101128014 | IV | 101 | 101407 | Mechanical Engineering | theory | THEORY_100 | 3.00 | F | D | C | 6 | 7 | 3.00 | 42^ | 21 | 63 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101128014 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101128014&exam_held=December%2F2025
21101128034 | IV | 101 | 101407 | Mechanical Engineering | theory | THEORY_100 | 3.00 | F | B | A | 8 | 9 | 3.00 | 57^ | 23 | 80 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101128034 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101128034&exam_held=December%2F2025
21101128049 | IV | 101 | 101405 | Introduction to Solid Mechanics | theory | THEORY_100 | 3.00 | F | P | D | 5 | 6 | 3.00 | 38^ | 14 | 52 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101128049 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101128049&exam_held=December%2F2025
21101128060 | IV | 101 | 101404 | Introduction to Fluid Mechanics | theory | THEORY_100 | 3.00 | F | P | D | 5 | 6 | 3.00 | 38^ | 16 | 54 | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101128060 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101128060&exam_held=December%2F2025
